dialogue_id,valid_transitions,emotion_shifts,shift_rate,split
0,13,6,0.46153846153846156,train
1,5,4,0.8,train
2,12,10,0.8333333333333334,train
3,7,3,0.42857142857142855,train
4,14,6,0.42857142857142855,train
5,3,1,0.3333333333333333,train
6,21,12,0.5714285714285714,train
7,1,1,1.0,train
8,6,3,0.5,train
9,13,6,0.46153846153846156,train
10,5,1,0.2,train
11,9,5,0.5555555555555556,train
12,11,11,1.0,train
13,3,3,1.0,train
14,5,2,0.4,train
15,22,14,0.6363636363636364,train
16,5,3,0.6,train
17,10,6,0.6,train
18,10,8,0.8,train
19,1,0,0.0,train
20,16,5,0.3125,train
21,13,12,0.9230769230769231,train
22,3,3,1.0,train
23,8,5,0.625,train
24,8,5,0.625,train
25,13,3,0.23076923076923078,train
26,13,7,0.5384615384615384,train
27,1,1,1.0,train
28,7,5,0.7142857142857143,train
29,11,8,0.7272727272727273,train
30,15,11,0.7333333333333333,train
31,3,0,0.0,train
32,18,13,0.7222222222222222,train
33,10,6,0.6,train
34,13,5,0.38461538461538464,train
35,5,1,0.2,train
36,5,1,0.2,train
37,3,2,0.6666666666666666,train
38,11,7,0.6363636363636364,train
39,18,7,0.3888888888888889,train
40,14,9,0.6428571428571429,train
41,15,8,0.5333333333333333,train
42,1,1,1.0,train
43,6,0,0.0,train
44,2,2,1.0,train
45,4,4,1.0,train
46,14,12,0.8571428571428571,train
47,15,7,0.4666666666666667,train
49,21,15,0.7142857142857143,train
50,16,12,0.75,train
51,10,4,0.4,train
52,11,2,0.18181818181818182,train
53,8,4,0.5,train
54,23,15,0.6521739130434783,train
55,16,8,0.5,train
56,6,4,0.6666666666666666,train
57,2,1,0.5,train
58,9,5,0.5555555555555556,train
59,9,3,0.3333333333333333,train
61,8,6,0.75,train
62,9,6,0.6666666666666666,train
63,7,7,1.0,train
64,12,8,0.6666666666666666,train
65,3,3,1.0,train
66,11,6,0.5454545454545454,train
67,13,9,0.6923076923076923,train
68,3,3,1.0,train
69,6,5,0.8333333333333334,train
70,8,4,0.5,train
71,1,0,0.0,train
72,7,4,0.5714285714285714,train
73,11,6,0.5454545454545454,train
74,6,3,0.5,train
76,7,2,0.2857142857142857,train
77,4,1,0.25,train
78,5,4,0.8,train
79,7,6,0.8571428571428571,train
80,5,3,0.6,train
81,16,11,0.6875,train
82,9,7,0.7777777777777778,train
83,3,2,0.6666666666666666,train
84,6,3,0.5,train
85,4,0,0.0,train
86,10,5,0.5,train
87,9,5,0.5555555555555556,train
88,3,2,0.6666666666666666,train
89,11,9,0.8181818181818182,train
92,1,1,1.0,train
93,7,5,0.7142857142857143,train
94,15,12,0.8,train
95,17,8,0.47058823529411764,train
96,4,0,0.0,train
97,3,1,0.3333333333333333,train
99,18,12,0.6666666666666666,train
100,7,3,0.42857142857142855,train
101,1,1,1.0,train
102,2,0,0.0,train
103,7,5,0.7142857142857143,train
104,1,1,1.0,train
105,1,1,1.0,train
106,5,3,0.6,train
107,8,2,0.25,train
108,6,4,0.6666666666666666,train
109,19,10,0.5263157894736842,train
110,5,4,0.8,train
111,17,15,0.8823529411764706,train
112,4,2,0.5,train
113,10,4,0.4,train
114,4,3,0.75,train
115,7,3,0.42857142857142855,train
116,7,4,0.5714285714285714,train
117,3,3,1.0,train
118,5,5,1.0,train
119,12,6,0.5,train
120,12,4,0.3333333333333333,train
121,5,4,0.8,train
122,15,7,0.4666666666666667,train
123,10,7,0.7,train
124,11,9,0.8181818181818182,train
125,8,2,0.25,train
126,12,11,0.9166666666666666,train
127,4,2,0.5,train
128,9,5,0.5555555555555556,train
129,14,10,0.7142857142857143,train
130,17,9,0.5294117647058824,train
131,2,2,1.0,train
132,10,9,0.9,train
135,6,0,0.0,train
136,3,1,0.3333333333333333,train
137,7,4,0.5714285714285714,train
138,16,13,0.8125,train
139,5,4,0.8,train
140,2,1,0.5,train
141,7,0,0.0,train
142,1,1,1.0,train
143,4,3,0.75,train
144,5,2,0.4,train
145,18,14,0.7777777777777778,train
146,12,5,0.4166666666666667,train
147,11,8,0.7272727272727273,train
148,20,11,0.55,train
149,3,2,0.6666666666666666,train
150,3,3,1.0,train
151,12,8,0.6666666666666666,train
152,8,3,0.375,train
153,12,9,0.75,train
