emotion_from,emotion_to,turning_points
joy,neutral,61
anger,neutral,47
neutral,joy,44
surprise,neutral,43
sadness,neutral,32
neutral,anger,16
surprise,anger,15
neutral,surprise,12
anger,sadness,11
neutral,sadness,11
fear,neutral,9
surprise,joy,8
anger,joy,7
sadness,anger,7
surprise,sadness,6
joy,surprise,5
neutral,disgust,5
disgust,neutral,5
disgust,anger,4
anger,surprise,4
joy,anger,4
fear,joy,2
joy,sadness,2
neutral,fear,2
sadness,joy,2
disgust,surprise,1
anger,fear,1
disgust,joy,1
fear,disgust,1
sadness,disgust,1
sadness,surprise,1
surprise,disgust,1
