,precision,recall,f1-score,support
anger,0.36421725239616615,0.3713355048859935,0.36774193548387096,307.0
disgust,0.13559322033898305,0.12698412698412698,0.13114754098360656,63.0
fear,0.06666666666666667,0.06818181818181818,0.06741573033707865,44.0
joy,0.3524355300859599,0.3435754189944134,0.347949080622348,358.0
neutral,0.568,0.5725806451612904,0.570281124497992,1116.0
sadness,0.2972972972972973,0.29411764705882354,0.2956989247311828,187.0
surprise,0.1349206349206349,0.13438735177865613,0.13465346534653466,253.0
accuracy,0.41924398625429554,0.41924398625429554,0.41924398625429554,0.41924398625429554
macro avg,0.27416151452938686,0.27302321614930314,0.27355540028608766,2328.0
weighted avg,0.4179896210054128,0.41924398625429554,0.4185944557003054,2328.0
